Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Owner,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
Finished sports goods,Sunil Koduri,555-0198,,,,Seattle,U.S.,,,,,,,,,,WA,6498 Minert Rd.,,,,,,,48229,,,,,,,,,,,,,,,,,,,,,,,555-0168,,,,"$950,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,69,,,Gail Erickson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Flying wheels,Jake Zukowski,555-0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$650,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,48,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Friendly Neighborhood Bikes,Sten Faerch,555-0156,FRI9941F,,,Heath,U.S.,,,,,,,,,,OH,345 67th SE,,,,,,,63302,,,,,,,,,,,,,,,,,,,,,,,555-0155,,,,"$1,650,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"8,100",R. Morgan Mendoza,,Alan Jackson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,Default Value,,
Front Sporting Goods,M. E. Joseph Lique,555-0180,FROCD6EA,,,Memphis,U.S.,,,,,,,,,,TN,1 East Walnut St.,Suite 200,,,,,,58364,,,,,,,,,,,,,,,,,,,,,,,555-0177,,,,"$1,430,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"7,953",M. E. Joseph Lique,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Full-Service Bike Store,Nicky Chesnut,555-0170,FULA5EA4,,,Winston-Salem,U.S.,,,,,,,,,,NC,890123 54th St. S,,,,,,,47349,,,,,,,,,,,,,,,,,,,,,,,555-0121,,,,"$1,000,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"6,800",Nicky Chesnut,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Fun Toys and Bikes,Richard Tupy,555-0168,FUN86F78,Default Value,,Norwood,U.S.,,,,,,,,,,MA,1234 8th St. SW,,,,,,,22308,,,,,,,,,,,,,,,,,,,,,,,555-0119,,,,"$45,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,930,Robert Ahlering,,Alan Jackson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
Grand Cycle Store,Sharon Crow,555-0138,GRA1B534,,,Houston,U.S.,,,,,,,,,,TX,FOOTHILLS MALL,,,,,,,58047,,,,,,,,,,,,,,,,,,,,,,,555-0194,,,,"$300,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"2,068",Sharon Crow,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Great Bicycle Supply,Ranjit Varkey Chudukatil,555-0160,GRE979BF,,,Kent,U.S.,,,,,,,,,,WA,3456 SE 272ND ST,,,,,,,20939,,,,,,,,,,,,,,,,,,,,,,,555-0120,,,,"$620,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"6,256",Ranjit Varkey Chudukatil,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Great Bikes,Michael Allen,555-0124,GB234F4R,Default Value,,Torrance,U.S.,,,,,,,,,,OH,3475 Chablis Court,,,,,,,63302,,,,,,,,,,,,,,,,,,,,,,,555-0173,,,,"$200,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,36,,,Jose Curry,Private,,Net 60,,,Phone,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Imported Sports Store,Chris Ashton,555-0113,,,,Seattle,U.S.,,,,,,,,,,WA,2354 Frayne Ln.,,,,,,,27962,,,,,,,,,,,,,,,,,,,,,,,555-0144,,,,"$890,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,65,,,Gail Erickson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Latest sports bikes,Hanying Feng,555-0135,,,,Redmond,U.S.,,,,,,,,,,WA,9863 Ridge Place,,,,,,,47425,,,,,,,,,,,,,,,,,,,,,,,555-0156,,,,"$6,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,109,,,Alan Jackson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Latest Sports Equipment,Jesper Aaberg,555-0135,LSE56Y6Y,,,Long Beach,U.S.,,,,,,,,,,TX,8202 Lyon Circle,,,,,,,97300,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$275,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,29,,,Jose Curry,Private,,Net 60,,,E-mail,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Leading Bike Distributors,Hannah Arakawa,555-0176,LEA44BCB,,,Daleville,U.S.,,,,,,,,,,IN,Praire Mall Center,,,,,,,57457,,,,,,,,,,,,,,,,,,,,,,,555-0102,,,,"$750,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"5,275",Hannah Arakawa,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,Default Value,,
Lease-a-Bike Shop,Maria Hammond,555-0131,IUSGDFS3,Default Value,,Bothell,U.S.,,,,,,,,,,WA,3997 Via De Luna,,,,,,,66150,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$30,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,883,,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,Default Value,,
Life-Style bikes,Nino Olivotto,555-0158,,,,Redmond,U.S.,,,,,,,,,,WA,2427 Notre Dame Ave.,,,,,,,64660,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$10,470,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,244,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Little Bicycle Supply Shop,David Jones,555-0136,WAFAFDS,,,Bothell,U.S.,,,,,,,,,,WA,250 Geary Ct.,,,,,,,81339,,,,,,,,,,,,,,,,,,,,,,,555-0128,,,,"$28,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,734,,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Litware Inc.,Bill Malone,555-0180,VAL6C186,,,Houston,U.S.,,,,,,,,,,TX,990 Mountain Hill Blvd,,,,,,,97300,,,,,,,,,,,,,,,,,,,,,,,555-0117,,,,"$1,460,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"7,789",Jay Adams,,Alan Jackson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
Lots of Bikes Storehouse,Alan Brewer,555-0135,LOT31AB8,,,Campbellsville,U.S.,,,,,,,,,,KY,123 N. America Ave,,,,,,,62964,,,,,,,,,,,,,,,,,,,,,,,555-0159,,,,"$255,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"2,020",Alan Brewer,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Magnificent bikes store,Wei Yu,555-0164,,,,Redmond,U.S.,,,,,,,,,,WA,7723 Firestone Drive,,,,,,,32147,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$2,900,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,95,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Maintenance and Repair for Bicycles,Alex Hankin,555-0174,NKLVHID9,Default Value,,Monroe,U.S.,,,,,,,,,,WA,3841 Silver Oaks Place,,,,,,,11949,,,,,,,,,,,,,,,,,,,,,,,555-0153,,,,"$24,500,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,470,,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Major Sport Suppliers,Michael Ruggiero,555-0162,ASIOBBR3,,,Snohomish,U.S.,,,,,,,,,,WA,1285 Greenbrier Street,,,,,,,72406,,,,,,,,,,,,,,,,,,,,,,,555-0119,,,,"$25,575,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,639,,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Major Sport Suppliers 2,Paul Alcorn,555-0170,MAJ235A8,,,Chicago,U.S.,,,,,,,,,,IL,100 72nd Plaza Drive,Ste. 123,,,,,,80849,,,,,,,,,,,,,,,,,,,,,,,555-0107,,,,"$400,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"3,176",Paul Alcorn,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Major Sporting Goods,Anna Bedecs,555-0168,POF654Y3,,,Duvall,U.S.,,,,,,,,,,WA,1825 Corte Del Prado,,,,,,,15462,,,,,,,,,,,,,,,,,,,,,,,555-0102,,,,"$12,250,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,279,,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Many Bikes Store,Tommy Hartono,555-0140,7FHKED87,Default Value,,Duvall,U.S.,,,,,,,,,,WA,5086 Nottingham Place,,,,,,,16982,,,,,,,,,,,,,,,,,,,,,,,555-0118,,,,"$9,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,200,,,Gail Erickson,Private,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Margie's Travel,Marian Berch,555-0178,PRO7A099,Default Value,,Bell Gardens,U.S.,,,,,,,,,,CA,123 Eastern Ave.,,,,,,,10032,,,,,,,,,,,,,,,,,,,,,,,555-0108,,,,"$670,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Do Not Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"6,298",Marian Berch,,Gail Erickson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Metro Bike Works,Mike Ray,555-0158,GFHS4538,,,Carnation,U.S.,,,,,,,,,,WA,390 Ridgewood Ct.,,,,,,,16105,,,,,,,,,,,,,,,,,,,,,,,555-0154,,,,"$8,500,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,198,,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Metropolitan Sports Supply,Mark Harrington,555-0196,MET6F5F1,,,Oklahoma City,U.S.,,,,,,,,,,OK,45671 City Street,,,,,,,66496,,,,,,,,,,,,,,,,,,,,,,,555-0123,,,,"$210,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,745",Mark Harrington,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Mobile Bike Store,Jelly Vissar,555-0178,,,,Indianapolis,U.S.,,,,,,,,,,IN,89950 Castleton Corner,,,,,,,46250,,,,,,,,,,,,,,,,,,,,,,,555-0197,,,,"$210,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,754",,,Alan Jackson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Mobile Outlet,Vasco Veiga,555-0142,MOB82231,,,Fort Worth,U.S.,,,,,,,,,,TX,5678 Liberty Road,,,,,,,96424,,,,,,,,,,,,,,,,,,,,,,,555-0186,,,,"$510,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"5,200",Hung-Fu Ting,,Alan Jackson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
Modern Bike Store,Josh Barnhill,555-0178,LAPFH639,,,Seattle,U.S.,,,,,,,,,,WA,7126 Edie Ct.,,,,,,,77125,,,,,,,,,,,,,,,,,,,,,,,555-0187,,,,"$11,500,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,258,,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,Default Value,,
Modular Cycle Systems,Thomas Jensen,555-0135,M89VHJE8,Default Value,,Seattle,U.S.,,,,,,,,,,WA,5666 Hazelnut Lane,,,,,,,62507,,,,,,,,,,,,,,,,,,,,,,,555-0101,,,,"$10,470,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,248,,,Gail Erickson,Private,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
More Bikes!,Mark Hassall,555-0197,HJFK9D7S,,,Seattle,U.S.,,,,,,,,,,WA,5375 Clearland Circle,,,,,,,86967,,,,,,,,,,,,,,,,,,,,,,,555-0168,,,,"$7,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,150,,,Gail Erickson,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Mountain Toy Store,Raman Iyer,555-0135,LLOGD78H,,,Duvall,U.S.,,,,,,,,,,WA,2598 La Vista Circle,,,,,,,15462,,,,,,,,,,,,,,,,,,,,,,,555-0188,,,,"$18,350,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,379,,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,Default Value,,
New and Used Bicycles,Brannon Jones,555-0168,NEWB7A8C,Default Value,,Wood Dale,U.S.,,,,,,,,,,IL,6543 Angle Road,,,,,,,80437,,,,,,,,,,,,,,,,,,,,,,,555-0151,,,,"$400,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"3,145",Brannon Jones,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Next-Door Bike Store,Ben Miller,555-0170,NEX06F6D,,,Salt Lake City,U.S.,,,,,,,,,,UT,1234 WEST 2700 SOUTH,,,,,,,10436,,,,,,,,,,,,,,,,,,,,,,,555-0193,,,,"$1,100,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"6,790",Syed Abbas,,Alan Jackson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
Northwind Traders,Jim Wilson,555-0160,FIRBB649,,,Laredo,U.S.,,,,,,,,,,TX,567 Kennedy Boulevard,,,,,,,98291,,,,,,,,,,,,,,,,,,,,,,,555-0124,,,,"$670,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"6,289",Mike Hines,,Alan Jackson,Private,,Net 60,,,,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Eastern,,,
On the Go Sports Store,Thomas Axen,555-0121,,,,Bellevue,U.S.,,,,,,,,,,WA,8684 Military East,,,,,,,28043,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$650,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,49,,,Gail Erickson,,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Orange Bicycle Company,Cat Francis,555-0148,OBC345T4,,,Chicago,U.S.,,,,,,,,,,IL,9056 Monti Dr,,,,,,,80849,,,,,,,,,,,,,,,,,,,,,,,555-0134,,,,"$165,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,22,,,Jose Curry,Private,,Net 60,,,E-mail,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Racing Bike Outlet,Patricia Doyle,555-0135,RACA7278,,,Sand city,U.S.,,,,,,,,,,CA,890 Red Road,,,,,,,20530,,,,,,,,,,,,,,,,,,,,,,,555-0192,,,,"$80,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,258",Patricia Doyle,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Rally Day Mall,Sean Chai,555-0193,RDMJ7UY6,,,Berkeley,U.S.,,,,,,,,,,UT,3467 Monzeneda Way,,,,,,,10436,,,,,,,,,,,,,,,,,,,,,,,555-0129,,,,"$100,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,24,,,Jose Curry,Private,,Net 60,,,Any,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Rapid sports store,Louise Tourbo,555-0145,,,,Redmond,U.S.,,,,,,,,,,WA,8467 Clifford Court,,,,,,,95386,,,,,,,,,,,,,,,,,,,,,,,555-0109,,,,"$890,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,63,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Recreation Supplies,H. Valentine,555-0140,REC4286E,,,Dallas,U.S.,,,,,,,,,,TX,789 Henry Avenue,,,,,,,95626,,,,,,,,,,,,,,,,,,,,,,,555-0190,,,,"$125,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,820",H. Valentine,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Reliable sports bikes,Paul Komosinski,555-0135,,,,Redmond,U.S.,,,,,,,,,,WA,9322 Dianda Drive,,,,,,,91957,,,,,,,,,,,,,,,,,,,,,,,555-0151,,,,"$9,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,198,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Ride n Rave Bike store,Joe Healy,555-0164,,,,Seattle,U.S.,,,,,,,,,,WA,2144 San Rafael,,,,,,,63996,,,,,,,,,,,,,,,,,,,,,,,555-0178,,,,"$5,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,105,,,Gail Erickson,,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,Default Value,,
Rider's sports store,Joe Andreshak,555-0171,,Default Value,,Seattle,U.S.,,,,,,,,,,WA,77 Birchwood,,,,,,,98756,,,,,,,,,,,,,,,,,,,,,,,555-0141,,,,"$2,900,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,96,,,Gail Erickson,,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Roaring bikes,Marco Tanara,555-0135,,,,Everett,U.S.,,,,,,,,,,WA,1185 Dallis Drive,,,,,,,70780,,,,,,,,,,,,,,,,,,,,,,,555-0114,,,,"$400,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,7,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Rugged Bikes,Megan Davis,555-0135,RUG668B3,Default Value,,Upland,U.S.,,,,,,,,,,CA,MOUNTAIN SQUARE,,,,,,,20313,,,,,,,,,,,,,,,,,,,,,,,555-0104,,,,"$1,650,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"8,028",Megan Davis,,Gail Erickson,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Scooters and Bikes Store,Joy Koski,555-0158,SCO05B99,Default Value,,San Antonio,U.S.,,,,,,,,,,TX,56789 Stars Roadway,,,,,,,20175,,,,,,,,,,,,,,,,,,,,,,,555-0170,,,,"$80,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"1,253",Joy Koski,,Jose Curry,Private,Recreation Supplies,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Solid Bike Parts,Anders Madsen,555-0176,SOLE211D,,,Denver,U.S.,,,,,,,,,,CO,Northwest Colorado Blvd.,,,,,,,10046,,,,,,,,,,,,,,,,,,,,,,,555-0106,,,,"$745,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"5,229",Michael Vanderhyde,,Alan Jackson,Private,,Net 60,,,Any,,,,Wholesale,Partner,Yes,,,,Active,Active,,,Eastern,,,
Special Bikes store,Patrick Hines,555-0124,,Default Value,,Seattle,U.S.,,,,,,,,,,WA,7616 Honey Court,,,,,,,33639,,,,,,,,,,,,,,,,,,,,,,,555-0132,,,,"$200,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,35,,,Gail Erickson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,Default Value,,
